artist,year,lyrics,recognized,name,topic1,topic2,decade,id,song_hash
Real McCoy,1995,Another night another dream but always youIt's like a vision of love that seems to be trueAnother night another dream but always youIn the night I dream of love so trueJust another night another vision of loveYou feel joy you feel pain cuz nothing will be the sameJust another night is all that it takes to understandThe difference between lovers and fakesSo baby I talk talk I talk to youIn the night in your dream of love so trueI talk talk I talk to you in the nightIn your dream of love so trueIn the night in my dreams I'm in love with youCuz you talk to me like lovers do I feel joy I feel painCuz it's still the same when the night is gone I'll be aloneAnother night another dream but always youIt's like a vision of love that seems to be trueAnother night another dream but always youIn the night I dream of love so trueJust another night another dream another visionOf love with me I'm here to set you freeI am your lover your brother hey sister let me coverYour body with my love is with my lovin' just anotherVision of love that seems to be trueAll we do all the things that only lovers doVision of love that seems to be trueAll we do all the things that only lovers doIn the night in my dreams I'm in love with youCuz you talk to me like lovers do I feel joy I feel painCuz it's still the same when the night is gone I'll be aloneAnother night another dream but always youIt's like a vision of love that seems to be trueAnother night another dream but always youIn the night I dream of love so trueI talk talk I talk to you in the night in your dream of love so trueI talk talk I talk to you in the nightIn your dream of love so trueIn the night in my dreams I'm in love with youCuz you talk to me like lovers do I feel joy I feel painCuz it's still the same when the night is gone I'll be aloneAnother night another dream but always youIt's like a vision of love that seems to be trueAnother night another dream but always youIn the night I dream of love so true,0,Another Night,Desire (love/flirting),Love (devotion),2010,35,Another NightReal McCoy
Mariah Carey,1996,"Oh yeah heay 
(Do do doop) 
(Do do doop do doop da dum) 
(Do do doop dum) 
(Do do doop do doop da dum) 

(Do do doop) 

(Do do doop do doop da dum) 

(Do do doop dum) 

(Do do doop do doop da dum) 



We were as one, babe 

For a moment in time 

And it seemed everlasting 

That you would always be mine 

Now you want to be free 

So I'll let you fly 

'Cause I know in my heart, babe 

Our love will never die 

No 



You'll always be a part of me 

I'm part of you indefinitely 

Boy, don't you know you can't escape me 

Ooh darling, 'cause you'll always be my baby 

And we'll linger on 

Time can't erase a feeling this strong 

No way you're never gonna shake me 

Ooh darling, 'cause you'll always be my baby 



(Do do doop) 

(Do do doop do doop da dum) 

(Do do doop dum) 

(Do do doop do doop da dum) 



I ain't gonna cry, no 

And I won't beg you to stay 

If you're determined to leave boy 

I will not stand in your way 

But inevitably, you'll be back again 

'Cause you know in your heart, babe 

Our love will never end 

No 



You'll always be a part of me 

I'm part of you indefinitely 

Boy, don't you know you can't escape me 

Ooh darling, 'cause you'll always be my baby 

And we'll linger on 

Time can't erase a feeling this strong 

No way you're never gonna shake me 

Ooh darling, 'cause you'll always be my baby 



I know that you'll be back, boy 

When your days and your nights get a little bit colder ooohhh 

(I know that) you'll be right back, baby 

Oh baby, believe me 

It's only a matter of time 

Time 



You'll always be a part of me 

I'm part of you indefinitely 

Boy, don't you know you can't escape me 

Ooh darling, 'cause you'll always be my baby 

And we'll linger on 

Time can't erase a feeling this strong 

No way you're never gonna shake me 

Ooh darling, 'cause you'll always be my baby 



You'll always be a part of me 

I'm part of you indefinitely 

Boy, don't you know you can't escape me 

Ooh darling, 'cause you'll always be my baby 

And we'll linger on 

Time can't erase a feeling this strong 

No way you're never gonna shake me 

Ooh darling, 'cause you'll always be my baby 



(Do do doop) 

(Do do doop do doop da dum) 

(Do do doop dum) 

(Do do doop do doop da dum) 



(Do do doop) 

(Do do doop do doop da dum) 

(Do do doop dum) 

(Do do doop do doop da dum)",0,Always Be My Baby,Love (devotion),Death (loss/grief),1970,36,Always Be My BabyMariah Carey
Mark Morrison,1997,"Ooooh, come on. Ooh yeah.Well, I tried to tell you so (Yes, I did),But I guess you didn't know,As the saddest story goes,Baby, now I got the flow.'Cause I knew it from the start,Baby, when you broke my heart,That I had to come again,And show you that I'm with.You lied to me,All those times I said that I loved youYou lied to me,Yes, I tried, yes, I tried,You lied to me,Even though you know I'd die for you,You lied to me,Yes, I cried, yes, I cried.Chorus [1]:Return of the Mack,Iti s,Return of the Mack,Come on,Return of the Mack,Oh, my god,You know that I'll be backHere I am.Chorus [2]:Return of the Mack,Once again,Return of the Mack,Top of the world,Return of the Mack,Watch my flow,You know that I'll be back,Here I go.So, I'm back up in the game,[Running things like half my swing?],Lettin' all the people know,That I'm back to run the show,'Cause what they didn't know was wrong,And all the nasty things you've done,So, baby, listen carefully,While I sing my comeback song.You lied to me,'Cause she said she'd never turn on me,You lied to me,But you did, but you did,You lied to me,All this pain you said I'd never feelYou lied to me,but I do, but I do do do.Chorus [3]:Return of the Mack,It is,Return of the Mack,Hold on,Return of the Mack,Don't you know,You know that I'll be back (Here I go),Return of the Mack,Oh, little girl,Return of the Mack,Once more, girl,Return of the Mack,Up and down,You know that I'll be back (round and round),[Interlude:]Ahhhh, Mark,Stop worrying about your big break.You lied to me,'Cause he said she'd never turn on me,You lied to me,But you did, but you did,You lied to me,All this pain you said I'd never feelYou lied to me,but I do, but I do do do.Chorus [1]:Return of the Mack,It is,Return of the Mack,Come on,Return of the Mack,Oh, my god,You know that i'll be backHere I am.Chorus [2]:Return of the Mack,Once again,Return of the Mack,Top of the world,Return of the Mack,Watch my flow,You know that I'll be back,Don't you know.Return of the Mack...",0,Return of the Mack,Love (devotion),Break-up (heartbreak),2000,37,Return of the MackMark Morrison
LeAnn Rimes,1998,"How do I,

Get through the night without you?

If I had to live without you,

What kind of life would that be?

Oh, I

I need you in my arms, need you to hold,

You're my world, my heart, my soul,

If you ever leave,

baby you would take away everything good in my life, 



and tell me now

How do I live without you?

I want to know,

How do I breathe without you?

If you ever go,

How do I ever, ever survive?

How do I, how do I, oh how do I live? 



Without you,

There'd be no sun in my sky,

There would be no love in my life,

There'd be no world left for me.

And I,

Baby I don't know what I would do,

I'd be lost if I lost you,

If you ever leave,

Baby you would take away everything real in my life, 



And tell me now,

How do I live without you?

I want to know,

How do I breathe without you?

If you ever go,

How do I ever, ever survive?

How do I, how do I, oh how do I live? 



Please tell me baby,

How do I go on? 



If you ever leave,

Baby you would take away everything,

I need you with me,

Baby don't you know that you're everything,

Real in my life? 



And tell me now,

How do I live without you,

I want to know,

How do I breathe without you?

If you ever go,

How do I ever, ever survive?

How do I, how do I, oh how do I live? 



How do I live without you? 



How do I live without you baby?",0,How Do I Live,Desire (love/flirting),Death (loss/grief),2000,38,How Do I LiveLeAnn Rimes
Britney Spears,1999,"Oh baby, baby

Oh baby, baby

Oh baby, baby

How was I supposed to know

That something wasn't right here?

Oh baby, baby

I shouldn't have let you go

And now you're out of sight, yeah



Show me how you want it to be

Tell me, baby, cause I need to know now, oh, because



My loneliness is killing me

(And I) I must confess I still believe (still believe)

When I'm not with you, I lose my mind

Give me a sign

Hit me baby one more time



Oh baby, baby

The reason I breathe is you

Boy, you got me blinded

Oh, pretty baby

There's nothing that I wouldn't do

It's not the way I planned it



Show me how you want it to be

Tell me, baby, cause I need to know now, oh, because



My loneliness is killing me

(And I) I must confess I still believe (still believe)

When I'm not with you, I lose my mind

Give me a sign

Hit me baby one more time



Oh baby, baby, how was I supposed to know?

Oh, pretty baby, I shouldn't have let you go



I must confess, that my loneliness is killing me now

Don't you know I still believe

That you will be here

And give me a sign

Hit me baby one more time



My loneliness is killing me

(And I) I must confess I still believe (still believe)

When I'm not with you, I lose my mind

Give me a sign

Hit me baby one more time



I must confess, that my loneliness is killing me now

Don't you know I still believe

That you will be here

And give me a sign

Hit me baby one more time",1,...Baby One More Time,Love (devotion),Break-up (heartbreak),2010,39,...Baby One More TimeBritney Spears
Vertical Horizon,2000,"Somewhere there's speaking

It's already coming in

Oh and it's rising at the back of your mind

You never could get it

Unless you were fed it

Now you're here and you don't know why



But under skinned knees and the skid marks

Past the places where you used to learn

You howl and listen

Listen and wait for the

Echoes of angels who won't return





Chorus

He's everything you want

He's everything you need

He's everything inside of you

That you wish you could be

He says all the right things

At exactly the right time

But he means nothing to you

And you don't know why



You're waiting for someone

To put you together

You're waiting for someone to push you away

There's always another wound to discover

There's always something more you wish he'd say



Chorus



But you'll just sit tight

And watch it unwind

It's only what you're asking for

And you'll be just fine

With all of your time

It's only what you're waiting for



Out of the island

Into the highway

Past the places where you might have turned

You never did notice

But you still hide away

The anger of angels who won't return



Chorus

I am everything you want

I am everything you need

I am everything inside of you

That you wish you could be

I say all the right things

At exactly the right time

But i mean nothing to you and i don't know why

And i don't know why

Why

I don't know",0,Everything You Want,"Jealousy (cheating, promiscuity)",Struggle (mental health/societal issue),1990,40,Everything You WantVertical Horizon
Jennifer Lopez,2001,"Called you on the phone 
Said I'm coming through 
Hope you're all alone 
'Cause I got plans for you 
We could stay at home or dance and hand all night 
As long as I'm with you 

It doesn't matter what we do 

Don't ask me where I've been 

Or what I'm gonna do 

Just know that I'm here with you 

Don't try to understand 

Baby, there's no mystery 

'Cause you know how I am 



I'm real, what you get is what you see 

What you trying to do to me 

You want to say you're mine 

Be with me all the time 

You're falling so in love 

Say you just can't get enough 

You're telling all your friends 



You like the way I dress 

The way I wear my hair 

Show me off to all your friends 

Baby, I don't care 

Just as long as you tell them who I am 

Tell them I'm the one that made you give a damn 

Don't ask where I've been 

Or what I'm gonna do 

Just know that I'm here with you 

Don't try to understand 

Baby, there's no mystery 

'Cause you know how I am 



I'm real, what you get is what you see 

What you trying to do to me 

You want to say you're mine 

Be with me all the time 

You're falling so in love 

Say you just can't get enough 

You're telling all your friends",0,I'm Real (Murder Remix),Desire (love/flirting),Love (devotion),2000,41,I'm Real (Murder Remix)Jennifer Lopez
The Calling,2002,"So lately, been wondering

Who will be there to take my place

When I'm gone you'll need love to light the shadows on your face

If a great wave shall fall and fall upon us all

Then between the sand and stone, could you make it on your own

If I could, then I would,

I'll go wherever you will go

Way up high or down low, I'll go wherever you will go



And maybe, I'll find out

A way to make it back someday

To watch you, to guide you, through the darkest of your days

If a great wave shall fall and fall upon us all

Then I hope there's someone out there

Who can bring me back to you



If I could, then I would,

I'll go wherever you will go

Way up high or down low, I'll go wherever you will go



Run away with my heart

Run away with my hope

Run away with my love



I know now, just quite how, 

My life and love may still go on

In your heart, in your mind, I'll stay with you for all of time



If I could, then I would,

I'll go wherever you will go

Way up high or down low, I'll go wherever you will go



If I could turn back time

I'll go wherever you will go

If I could make you mine

I'll go wherever you will go

I'll go wherever you will go",0,Wherever You Will Go,Desire (love/flirting),Love (devotion),1990,42,Wherever You Will GoThe Calling
3 Doors Down,2003,"There's another world inside of me 
That you may never see 
There're secrets in this life 
That I can't hide 
Somewhere in this darkness 
There's a light that I can't find 

Maybe it's too far away... 

Maybe I'm just blind... 



Maybe I'm just blind... 



[chorus] 

So hold me when I'm here 

Right me when I'm wrong 

Hold me when I'm scared 

And love me when I'm gone 

Everything I am 

And everything in me 

Wants to be the one 

You wanted me to be 

I'll never let you down 

Even if I could 

I'd give up everything 

If only for your good 

So hold me when I'm here 

Right me when I'm wrong 

You can hold me when I'm scared 

You won't always be there 

So love me when I'm gone 

[end chorus] 



Love me when I'm gone... 



When your education x-ray 

Can not see under my skin 

I won't tell you a damn thing 

That I could not tell my friends 

Roaming through this darkness 

I'm alive but I'm alone 

Part of me is fighting this 

But part of me is gone 



[chorus] 



Maybe I'm just blind... 



[chorus] 



Love me when I'm gone... 



Love me when I'm gone 

When I'm Gone 

When I'm Gone 

When I'm Gone",0,When I'm Gone,Desire (love/flirting),Love (devotion),2000,43,When I'm Gone3 Doors Down
OutKast,2004,"Boom, Boom, Boom.

Heh, Heh.

Ready for action, nip it in the butt.

We never relaxin', OutKast is everlastin'

Not clashin', not at all but see my nigga went to do a little acting.

Now that's for anyone askin' give me one pass em'

Drip drip drop there goes an eargasm

Now you cumin out the side of your face

We tapping right into your memory banks (Thanks!)

So flickle the tickle lets see your seat belt fastened

Trunk rattlin' like two midgets in the back seat wrasling

Speakerbox vibrate the tank, make it sound like aluminum cans in the back.

But I know ya'll wanted that 808 can you feel that B-A-S-S, bass

But I know ya'll wanted that 808 can you feel that B-A-S-S, bass



I like the waaaay you move

I like the waaaay you move (Whoo-o-o!)

I love the waaaay you move

I love the way, I love the way.



I love the waaaay you move

I love the waaaay you move (Whoo-o-o!)

I love the waaaay you move

I love the way, I love the way.



Then the whole room fell silent (Shhhhh!)

The girls all pause with glee, turning left turning right hardly looking at me,

But I was looking at them, there, there on the dance floor

Now they got me in the middle feeling like a man whore

Specially the big girl, big girls need love too no discrimination in this world.

So keep your hands off my cheeks, and let me study how you ride the beat 

You big freak!

Skinny, slim women got the ghetto within them 

You can fuck them, lift them, bend them, give them something to remember

Hail out timber when you fall through the chop shop.

Take a deep a breath and exhale your ex male friend, boyfriend was boring as hell

Now let me listen to the stories you tell and we can make moves like a person in jail.

On the loco



I like the waaaay you move

I like the waaaay you move (Whoo-o-o!)

I love the waaaay you move

I love the way, I love the way.



I love the waaaay you move

I love the waaaay you move (Whoo-o-o!)

I love the waaaay you move

I love the way, I love the way.



Heeeey baby, girl don't you stop

Come on baby dance on the top of me 

You so fine (you so fine) you so fine

You drive me outta my mind (my mind, outta my mind!) Oooh baby!

If I could I would, just be with yoooou baaaaby

Ooooooh Cause you like me and excite me and you know you gotta leave baby!

Oooooo!



I like the waaay you move (I like the way you move)

I like the waaay you move (Ooo you so sexy baaby!) (Whoo-o-o!)

I love the waaay you move 

I love the way, I love the way (Whoo-o-o!)



I love the waaay you move (I love the way you move)

I love the waaay you move (Ooo you so sexy baaby!) (Whoo-o-o)

I love the waaay you move 

I love the way, I love the way.



I like the waaay you move

I like the waaay you move (Whoo-o-o!)

I love the waaay you move

I love the way, I love the way.



I love the waaay you move

I love the waaay you move (Whoo-o-o!)

I love the waaay you move

I love the way, I love the way",0,The Way You Move,Love (devotion),Money (power/flexing),2000,44,The Way You MoveOutKast
Kanye West,2005,"(feat. Jamie Foxx)

[Jamie Foxx]

She take my money when I'm in need

Yea she's a trifflin friend indeed

Oh she's a gold digga way over town

That dig's on me



[Chorus:]

(She takes my money)

Now I ain't sayin' she a gold digger (When I'm in Need)

But she ain't messin' wit no broke niggaz

(She takes my money)

Now I ain't sayin' she a gold digger (When I'm in need)

But she ain't messin' wit no broke niggaz

Get down girl gone head get down (I gotta leave)

Get down girl gone head get down (I gotta leave)

Get down girl gone head get down (I gotta leave)

Get down girl gone head



[Verse 1:]

Cutie the bomb

Met her at a beauty salon

With a baby louis vuitton

Under her underarm

She said I can tell you ROC

I can tell by ya charm

Far as girls you got a flock

I can tell by ya charm and ya arm

but I'm lookin for the one

have you seen her

My psychic told me she have a ass like Serena

Trina, Jennifer Lopez, four kids

An I gotta take all they bad ass to show-biz

Ok get ya kids but then they got their friends

I Pulled up in the Benz, they all got up In

We all went to Den and then I had to pay

If you fuckin with this girl then you betta be payed

You know why

It take too much to touch her

From what I heard she got a baby by Busta

My best friend say she use to fuck wit Usher

I dont care what none of yall say I still love her



[Chorus:]

(She takes my money)

Now I ain't sayin' she a gold digger (When I'm in Need)

But she ain't messin' wit no broke niggaz

(She takes my money)

Now I ain't sayin' she a gold digger (When I'm in need)

but she ain't messin' wit no broke niggaz

get down girl gone head get down (I gotta leave)

get down girl gone head get down (I gotta leave)

get down girl gone head get down (I gotta leave)

get down girl gone head



[Verse 2:]

18 years, 18 years

She got one of yo kids got you for 18 years

I know somebody payin child support for one of his kids

His baby momma's car and crib is bigger than his

You will see him on TV Any Given Sunday

Win the Superbowl and drive off in a Hyundai

She was spose to buy ya shorty TYCO with ya money

She went to the doctor got lypo with ya money

She walkin around lookin like Michael with ya money

Should of got that insured got GEICO for ya moneeey

If you aint no punk holla We Want Prenup

WE WANT PRENUP!, Yeaah

It's something that you need to have

Cause when she leave yo ass she gone leave with half

18 years, 18 years

And on her 18th birthday he found out it wasn't his



[Chorus:]

(She takes my money)

Now I ain't sayin' she a gold digger (When I'm in Need)

But she ain't messin' wit no broke niggaz

(She takes my money)

Now I ain't sayin' she a gold digger (When I'm in need)

but she ain't messin' wit no broke niggaz

get down girl gone head get down (I gotta leave)

get down girl gone head get down (I gotta leave)

get down girl gone head get down (I gotta leave)

get down girl gone head



[Verse 3:]

Now I aint sayin you a gold digger you got needs

You dont want ya dude to smoke but he can't buy weed

You got out to eat and he cant pay yall cant leave

There's dishes in the back, he gotta roll up his sleeves

But why yall washin watch him

He gone make it into a Benz out of that Datson

He got that ambition baby look in his eyes

This week he moppin floorz next week it's the fries

So, stick by his side

I know his dude's ballin but yea thats nice

And they gone keep callin and tryin

But you stay right girl

But when you get on he leave yo a** for a white girl



Get down girl gone head get down

Get down girl gone head get down

get down girl gone head get down

get down girl gone head

(lemme hear dat bak)",1,Gold Digger,Desire (love/flirting),Money (power/flexing),2000,45,Gold DiggerKanye West
Shakira,2006,"Ladies up in here tonight

No fighting, no fighting

We got the refugees up in here

No fighting, no fighting

Shakira, Shakira



I never really knew that she could dance like this

She makes a man wants to speak Spanish

Como se llama (si), bonita (si), mi casa (si), Shakira Shakira, su casa

Shakira, Shakira



Oh baby when you talk like that

You make a woman go mad

So be wise and keep on

Reading the signs of my body



And I'm on tonight

You know my hips don't lie

And I'm starting to feel it's right

All the attraction, the tension

Don't you see baby, this is perfection



Hey Girl, I can see your body moving

And it's driving me crazy

And I didn't have the slightest idea

Until I saw you dancing



And when you walk up on the dance floor

Nobody cannot ignore the way you move your body, girl

And everything so unexpected - the way you right and left it

So you can keep on shaking it



I never really knew that she could dance like this

She makes a man want to speak Spanish

Como se llama (si), bonita (si), mi casa (si, Shakira Shakira), su casa

Shakira, Shakira



Oh baby when you talk like that

You make a woman go mad

So be wise and keep on

Reading the signs of my body



And I'm on tonight

You know my hips don't lie

And I am starting to feel you boy

Come on lets go, real slow

Don't you see baby asi es perfecto



Oh I know I am on tonight my hips don't lie

And I am starting to feel it's right

All the attraction, the tension

Don't you see baby, this is perfection

Shakira, Shakira



Oh boy, I can see your body moving

Half animal, half man

I don't, don't really know what I'm doing

But you seem to have a plan

My will and self restraint

Have come to fail now, fail now

See, I am doing what I can, but I can't so you know

That's a bit too hard to explain



Baila en la calle de noche

Baila en la calle de día



Baila en la calle de noche

Baila en la calle de día



I never really knew that she could dance like this

She makes a man want to speak Spanish

Como se llama (si), bonita (si), mi casa (si, Shakira Shakira), su casa

Shakira, Shakira



Oh baby when you talk like that

You know you got me hypnotized

So be wise and keep on

Reading the signs of my body



Senorita, feel the conga, let me see you move like you come from Colombia



Mira en Barranquilla se baila así, say it!

Mira en Barranquilla se baila así



Yeah

She's so sexy every man's fantasy a refugee like me 

back with the Fugees from a 3rd world country

I go back like when 'pac carried crates for Humpty Humpty

I need a whole club dizzy

Why the CIA wanna watch us?

Colombians and Haitians

I ain't guilty, it's a musical transaction

No more do we snatch ropes

Refugees run the seas 'cause we own our own boats



I'm on tonight, my hips don't lie

And I'm starting to feel you boy

Come on let's go, real slow

Baby, like this is perfecto



Oh, you know I am on tonight and my hips don't lie

And I am starting to feel it's right

The attraction, the tension

Baby, like this is perfection



No fighting

No fighting",1,Hips Don't Lie,Desire (love/flirting),Dancing (clubbing/happy),2000,46,Hips Don't LieShakira
Carrie Underwood,2007,"Right now he's probably slow dancing with a bleach blonde tramp,

and she's probably getting frisky...

right now, he's probably buying her some fruity little drink cause she can't shoot whiskey...

Right now, he's probably up behind her with a pool-stick, showing her how to shoot a combo...

And he don't know...



That I dug my key into the side of his pretty little suped up 4 wheel drive,

carved my name into his leather seats...

I took a Louisville slugger to both head lights,

slashed a hole in all 4 tires...



Maybe next time he'll think before he cheats.



Right now, she's probably up singing some

white-trash version of Shania karoke..

Right now, she's probably saying \""I'm drunk\""

and he's a thinking that he's gonna get lucky,

Right now, he's probably dabbing on 3 dollars worth of that bathroom polo...

And he don't know...



That I dug my key into the side of his pretty little suped up 4 wheel drive,

carved my name into his leather seats,

I took a Louisville slugger to both head lights,

slashed a hole in all 4 tires...



Maybe next time he'll think before he cheats.



I might saved a little trouble for the next girl,

Cause the next time that he cheats...



Oh, you know it won't be on me!



Ohh... not on me...

Cause I dug my key into the side of his pretty little suped up 4 wheel drive,

carved my name into his leather seats...

I took a Louisville slugger to both head lights,

slashed a hole in all 4 tires...



Maybe next time he'll think before he cheats.



Ohh.. Maybe next time he'll think before he cheats...



Ohh... before he cheats...",0,Before He Cheats,Break-up (heartbreak),"Jealousy (cheating, promiscuity)",2020,47,Before He CheatsCarrie Underwood
Timbaland,2008,"I'm holding on your rope

Got me ten feet off the ground

And I'm hearing what you say

But I just can't make a sound

You tell me that you need me

Then you go and cut me down

But wait...

You tell me that you're sorry

Didn't think I'd turn around and say..



That it's too late to apologize, it's too late

I said it's too late to apologize, it's too late



I'd take another chance, take a fall, take a shot for you

And I need you like a heart needs a beat

(But that's nothing new)

Yeah yeah



I loved you with a fire red, now it's turning blue

And you say

Sorry like the Angel Heaven let me think was you,

But I'm afraid



It's too late to apologize, it's too late

I said it's too late to apologize, it's too late

Woahooo woah



It's too late to apologize, it's too late

I said it's too late to apologize, it's too late

I said it's too late to apologize, yeah

I said it's too late to apologize, yeah



I'm holding on your rope

Got me ten feet off the ground...",0,Apologize,Break-up (heartbreak),Struggle (mental health/societal issue),2010,48,ApologizeTimbaland
Flo Rida,2009,"You spin my head right round, right round

When you go down, when you go down down

(You spin my head right round, right round

When you go down, when you go down down)

Hey, walk out of the house with my swagger

Hop in, there we go, I got places to go

People to see, time is precious

I look at my Cartier, they outta control

Just like my mind where I'm goin

No women, no shorties, no nothin but clothes

No stoppin now, my Pirellis on roll

I like my jewelry that's always on gold



I know the storm is comin

My pockets keep tellin me it's gonna shower

Call up my homies that's home

Then pop in the night cause it's meant to be ours

We keep a fadeaway shot

Cause we be ballin, it's platinum Patron that be ours

Lil mama, I owe you just like the flowers

Girl you the truth with all of that goody power cause



You spin my head right round, right round

When you go down, when you go down down

(You spin my head right round, right round

When you go down, when you go down down)



From the top of the pole I watch her go down

She got me throwing my money around

Ain't nothing more beautiful to be found

...it's going down down!



From the top of the pole I watch her go down

She got me throwing my money around

Ain't nothing more beautiful to be found

...it's going down down!



Heeeey! Shawty must know I'm the man

My money love her like a number one fan

Don't open my mouth, let her talk to my bands

My Benjamin Frank-a-lans

A couple of grands, I got rubberbands

My paper planes making her dance

Get dirty all night, that's part of my plan

We building castles that's made out of sand



She's amazing, her fire blazing

Hotter than cajun; girl won't you move a lil' closer?

Time to get paid, it's maximum wage

That body belongs on a poster

I'm in a daze, that bottom is waving at me, like dammit I know ya

Doing a show like a gun out of holster

Tell me whatever then I'll be your chauffeur cause...



You spin my head right round, right round

When you go down, when you go down down

(You spin my head right round, right round

When you go down, when you go down down)



From the top of the pole I watch her go down

She got me throwing my money around

Ain't nothing more beautiful to be found

...it's going down down!



From the top of the pole I watch her go down

She got me throwing my money around

Ain't nothing more beautiful to be found

...it's going down down!



Yeeeah! I'm spending my money

I'm outta control

Somebody help me

She's taking my bank roll

But I'm king of the club

And I'm wearing the crown

Popping these bottles, touching these models

Watching they asses go

Down down down



You spin my head right round, right round

When you go down, when you go down down

(You spin my head right round, right round

When you go down, when you go down down)",1,Right Round,Desire (love/flirting),Money (power/flexing),1990,49,Right RoundFlo Rida
Usher,2010,"[feat. will.i.am]

[Will.I.Am:]

Oh my gosh

Baby let me...

I did it again, so I'm gone let the beat drop

Oh my



[Chorus:]

Baby let me love you down

There's so many ways to love ya

Baby I can break you down

There's so many ways to love ya

Got me like, ooh myy gosh I'm soo in love

I found you finally, it make me want to say

Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,

Ohh my gosh



You make me want to say



Oh, oh, oh, oh, oh, oh, oh, oh, oh



[Verse 1:]

I fell in love with shawty when I seen her on the dance floor

She was dancing sexy, pop, pop, popping, dropping, dropping low

Never ever has a lady hit me on the first sight

This was something special; this was just like dynamite

Honey got a booty like pow, pow, pow

Honey got some boobies like wow, oh wow

Girl you know I'm loving your, loving your style

Check, check, check, check, check, checking you out like,

Ooh (oooh) she got it allll

Sexy from her head to toes

And I want it all, it all, it all



[Chorus:]

Baby let me love you down

There's so many ways to love ya

Baby I can break you down

There's so many ways to love ya

Got me like, ooh myy gosh I'm soo in love

I found you finally, it make me want to say

Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,

Ohh my gosh

...

You make me want to say [repeat 2x]

Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh



[Will.I.Am:]

Feel so hard for honey out of all the girls up in this club

This one got me whipped, just off one look, yep I fell in love

This one something special, this one just like dynamite

You're, you're, you're, you're, you're, you're, you're out of sight

Fell in love with honey like my, oh my

Honey looking wonderful; fly, so fly

Honey like a supermodel; my, oh my

Baby how you do that, make a grown man cry?

Ooh (oooh) baby, you got it alll

Sexy from her head to the toes

And I want it all, it all, it all



[Chorus:]

So, honey let me love you down

There's so many ways to love ya

Baby I can break it down

There's so many ways to love ya

Got me like, ooh myy gosh I'm soo in love I found you finallyy,

You make me want to say...

Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,

Oh My Gosh!



Oh my gosh

Oh my

Oh my

Oh, oh my gosh



[Will.I.Am:]

Oh myy gosh

I did it again

So I'm gone let the beat drop



[Usher:]

Oh, oh, oh myy

Oh, oh, oh my, my, my, my, my, my

Ooh my gosh [x3]",0,OMG,Desire (love/flirting),Dancing (clubbing/happy),2000,50,OMGUsher
Bruno Mars,2011,"Easy come, easy go
That's just how you live, oh
Take take take it all
But you never give
Should've known you was trouble
From the first kiss

Had your eyes wide open

Why were they open?



Gave you all I had

And you tossed it in the trash

You tossed it in the trash, you did

To give me all your love

Is all I ever asked

Cause what you don't understand

Is I'd catch a grenade for ya 

(yeah, yeah, yeah)

Throw my hand on the blade for ya 

(yeah, yeah, yeah)

I'd jump in front of a train for ya 

(yeah, yeah, yeah)

You know I'd do anything for ya 

(yeah, yeah, yeah)



I would go through all this pain

Take a bullet straight through my brain

Yes I would die for you, baby

But you won't do the same

No, no, no, no



Black, black, black and blue

Beat me till I'm numb

Tell the devil I said 

hey when you get back to where you're from

Bad woman, bad woman

That's just what you are

Yeah, you smile in my face 

then rip the breaks out my car



Gave you all I had

And you tossed it in the trash

You tossed it in the trash, yes you did

To give me all your love

Is all I ever asked

Cause what you don't understand

Is I'd catch a grenade for ya 

(yeah, yeah, yeah)

Throw my hand on the blade for ya 

(yeah, yeah, yeah)

I'd jump in front of a train for ya 

(yeah, yeah, yeah)

You know I'd do anything for ya 

(yeah, yeah, yeah)



I would go through all this pain

Take a bullet straight through my brain

Yes I would die for you, baby

But you won't do the same



If my body was on fire

You would watch me burn down in flames

You said you loved me, you're a liar

Cause you never ever ever did, baby



But darling, I'd still catch a grenade for ya 

Throw my hand on the blade for ya

I'd jump in front of a train for ya

You know I'd do anything for ya



I would go through all this pain

Take a bullet straight through my brain

Yes I would die for ya baby

But you won't do the same

No, you won't do the same

Oh, you never do the same

You never do the same, no, no, no, no",1,Grenade,Love (devotion),Break-up (heartbreak),2000,51,GrenadeBruno Mars
